Date,ret,RM-Rf,SMB,HML,RMW,CMA,Lag1,Lag2,Lag3,Lag4,Lag5
1/25/2016,-1.656032857,-1.71,-0.54,-0.96,0.32,0,2.108621657,0.391118074,-0.990637999,-0.104792558,-2.124798402
1/26/2016,1.511330408,1.52,0.6,1.16,0.62,0.62,-1.656032857,2.108621657,0.391118074,-0.990637999,-0.104792558
1/27/2016,-1.1444211,-1.11,-0.42,1.68,-0.17,0.91,1.511330408,-1.656032857,2.108621657,0.391118074,-0.990637999
1/28/2016,0.396819501,0.49,-0.55,1.25,-0.29,-0.45,-1.1444211,1.511330408,-1.656032857,2.108621657,0.391118074
1/29/2016,2.450193629,2.57,0.59,0.42,-0.02,0.4,0.396819501,-1.1444211,1.511330408,-1.656032857,2.108621657
2/1/2016,0.020342856,-0.04,-0.29,-1,0.1,-0.36,2.450193629,0.396819501,-1.1444211,1.511330408,-1.656032857
2/2/2016,-1.950768225,-2,-0.15,-0.36,0.28,0.39,0.020342856,2.450193629,0.396819501,-1.1444211,1.511330408
2/3/2016,0.599532049,0.46,-0.25,0.45,0.4,0.32,-1.950768225,0.020342856,2.450193629,0.396819501,-1.1444211
2/4/2016,0.236767058,0.27,0.31,0.37,0.21,0,0.599532049,-1.950768225,0.020342856,2.450193629,0.396819501
2/5/2016,-2.07779432,-2.06,-0.73,1.64,1.04,1.18,0.236767058,0.599532049,-1.950768225,0.020342856,2.450193629
2/8/2016,-1.565821174,-1.51,0.14,0.83,1.7,0.86,-2.07779432,0.236767058,0.599532049,-1.950768225,0.020342856
2/9/2016,-0.128027874,-0.09,-0.55,-0.26,-0.05,0.05,-1.565821174,-2.07779432,0.236767058,0.599532049,-1.950768225
2/10/2016,0.06400188,0.01,-0.2,-0.53,-0.28,-0.69,-0.128027874,-1.565821174,-2.07779432,0.236767058,0.599532049
2/11/2016,-1.245438945,-1.17,0.3,-1.48,0.39,-0.27,0.06400188,-0.128027874,-1.565821174,-2.07779432,0.236767058
2/12/2016,1.926004306,1.98,-0.28,1.11,-0.43,0.21,-1.245438945,0.06400188,-0.128027874,-1.565821174,-2.07779432
2/16/2016,1.806420762,1.78,0.55,-0.56,0.02,-0.24,1.926004306,-1.245438945,0.06400188,-0.128027874,-1.565821174
2/17/2016,1.64132143,1.75,-0.14,-0.65,-0.41,-0.38,1.806420762,1.926004306,-1.245438945,0.06400188,-0.128027874
2/18/2016,-0.400082329,-0.51,-0.02,0.2,0.41,0.48,1.64132143,1.806420762,1.926004306,-1.245438945,0.06400188
2/19/2016,0.02053618,0.06,0.27,-0.58,-0.64,-0.38,-0.400082329,1.64132143,1.806420762,1.926004306,-1.245438945
2/22/2016,1.448867734,1.43,-0.18,0.28,0.21,-0.26,0.02053618,-0.400082329,1.64132143,1.806420762,1.926004306
2/23/2016,-1.212747834,-1.22,0.37,-0.51,0.77,0.49,1.448867734,0.02053618,-0.400082329,1.64132143,1.806420762
2/24/2016,0.511317247,0.53,0.65,-0.31,-0.02,0.15,-1.212747834,1.448867734,0.02053618,-0.400082329,1.64132143
2/25/2016,1.176378448,1.1,-0.45,0.23,-0.07,-0.25,0.511317247,-1.212747834,1.448867734,0.02053618,-0.400082329
2/26/2016,-0.080689887,-0.01,0.86,0.28,-0.58,-0.03,1.176378448,0.511317247,-1.212747834,1.448867734,0.02053618
2/29/2016,-0.800275418,-0.69,0.72,0.26,0.15,0.51,-0.080689887,1.176378448,0.511317247,-1.212747834,1.448867734
3/1/2016,2.352109688,2.34,-0.67,0.39,-0.61,-0.6,-0.800275418,-0.080689887,1.176378448,0.511317247,-1.212747834
3/2/2016,0.554783464,0.54,0.59,0.67,-0.73,-0.06,2.352109688,-0.800275418,-0.080689887,1.176378448,0.511317247
3/3/2016,0.492731673,0.51,0.56,0.63,0.28,0.31,0.554783464,2.352109688,-0.800275418,-0.080689887,1.176378448
3/4/2016,0.343502614,0.37,0.33,0.28,0.09,0.09,0.492731673,0.554783464,2.352109688,-0.800275418,-0.080689887
3/7/2016,0.20550799,0.21,1.27,0.5,-0.44,0.4,0.343502614,0.492731673,0.554783464,2.352109688,-0.800275418
